822#70#Santa Cruz de Tenerife#Subasignado 92#XFERA MÓVILES, S.A. UNIPERSONAL#26/10/2016
822#70#Santa Cruz de Tenerife#Subasignado 93#XFERA MÓVILES, S.A. UNIPERSONAL#26/10/2016
822#70#Santa Cruz de Tenerife#Subasignado 94#XFERA MÓVILES, S.A. UNIPERSONAL#26/10/2016
822#70#Santa Cruz de Tenerife#Subasignado 95#XFERA MÓVILES, S.A. UNIPERSONAL#26/10/2016
822#70#Santa Cruz de Tenerife#Subasignado 96#XFERA MÓVILES, S.A. UNIPERSONAL#26/10/2016
822#70#Santa Cruz de Tenerife#Subasignado 97#XFERA MÓVILES, S.A. UNIPERSONAL#26/10/2016
822#70#Santa Cruz de Tenerife#Subasignado 98#XFERA MÓVILES, S.A. UNIPERSONAL#26/10/2016
822#70#Santa Cruz de Tenerife#Subasignado 99#XFERA MÓVILES, S.A. UNIPERSONAL#26/10/2016
822#71#Santa Cruz de Tenerife#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#08/10/2019
822#71#Santa Cruz de Tenerife#Subasignado 00#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 01#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 02#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 03#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 04#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 05#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 06#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 07#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 08#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 09#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 10#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 11#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 12#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 13#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 14#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 15#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 16#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 17#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 18#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 19#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 20#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 21#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 22#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 23#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 24#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 25#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 26#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 27#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 28#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 29#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 30#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 31#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 32#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 33#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
822#71#Santa Cruz de Tenerife#Subasignado 34#XFERA MÓVILES, S.A. UNIPERSONAL#19/11/2019
