514#148#VERIZÓN SPAIN, S.L.#16/02/2006#Asignado
514#149#VERIZÓN SPAIN, S.L.#16/02/2006#Asignado
514#440#ALISYS DIGITAL, S.L. UNIPERSONAL#05/11/2012#Asignado
514#514#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#16/02/2006#Asignado
515#000#CONTACTA SERVEIS AVANÇATS, S.L.#06/10/2006#Asignado
515#001#VODAFONE ESPAÑA, S.A. UNIPERSONAL#31/12/2009#Asignado
515#002#VODAFONE ESPAÑA, S.A. UNIPERSONAL#31/12/2009#Asignado
515#003#VODAFONE ESPAÑA, S.A. UNIPERSONAL#31/12/2009#Asignado
515#004#VODAFONE ESPAÑA, S.A. UNIPERSONAL#31/12/2009#Asignado
515#005#VODAFONE ESPAÑA, S.A. UNIPERSONAL#31/12/2009#Asignado
515#006#VODAFONE ESPAÑA, S.A. UNIPERSONAL#31/12/2009#Asignado
515#080#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012#Asignado
515#090#FINAREA, S.A.#02/05/2006#Asignado
515#515#VOIPING US, S.L.#26/11/2015#Asignado
515#600#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#601#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#602#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#603#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#604#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#605#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#606#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#607#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#608#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#609#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#610#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#611#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#612#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#613#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#614#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#615#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#616#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#617#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#618#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#619#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#620#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#621#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#622#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#623#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#624#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#625#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#626#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#627#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#628#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#629#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#630#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#631#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#632#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#633#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#634#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#635#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#636#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#637#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#638#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#639#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#640#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#641#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#642#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#643#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#644#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#645#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#646#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#647#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#648#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#649#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016#Asignado
515#741#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006#Asignado
515#742#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006#Asignado
515#743#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006#Asignado
515#744#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006#Asignado
515#745#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006#Asignado
515#746#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006#Asignado
515#747#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006#Asignado
515#748#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006#Asignado
